Subj,Trial,Game,Stim11,Stim12,Stim13,Stim21,Stim22,Stim23,Stim31,Stim32,Stim33,Choice,Chosen1,Chosen2,Chosen3,Unchosen1,Unchosen2,Unchosen3,Unchosen4,Unchosen5,Unchosen6,Outcome,Dim,Feat,CenterDim,CenterFeat,Correct,LearnedFeat,PoL,RT
23,65,4,1,5,7,2,4,8,3,6,9,3,3,6,9,1,2,4,5,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.74415
23,66,4,2,6,8,3,4,9,1,5,7,2,3,4,9,1,2,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.75091
23,67,4,1,4,9,2,6,8,3,5,7,1,1,4,9,2,3,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.94145
23,68,4,1,5,7,2,4,9,3,6,8,2,2,4,9,1,3,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,1.5236
23,69,4,2,6,9,3,4,8,1,5,7,1,2,6,9,1,3,4,5,7,8,0,3,9,NaN,NaN,1,NaN,NaN,0.57066
23,70,4,2,4,9,3,5,7,1,6,8,1,2,4,9,1,3,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.56076
23,71,4,2,6,9,3,5,8,1,4,7,1,2,6,9,1,3,4,5,7,8,0,3,9,NaN,NaN,1,NaN,NaN,0.55221
23,72,4,2,6,7,3,4,9,1,5,8,2,3,4,9,1,2,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.71058
23,73,4,1,5,7,3,6,8,2,4,9,3,2,4,9,1,3,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.82151
23,74,4,1,5,8,3,6,7,2,4,9,3,2,4,9,1,3,5,6,7,8,0,3,9,NaN,NaN,1,NaN,NaN,0.54779
23,75,4,2,4,8,3,6,7,1,5,9,3,1,5,9,2,3,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.74686
23,76,4,2,4,8,1,6,7,3,5,9,3,3,5,9,1,2,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.50423
23,77,4,3,4,8,1,5,9,2,6,7,2,1,5,9,2,3,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.87175
23,78,4,2,6,9,3,4,7,1,5,8,1,2,6,9,1,3,4,5,7,8,1,3,9,NaN,NaN,1,NaN,NaN,1.2221
23,79,4,3,6,7,1,5,9,2,4,8,2,1,5,9,2,3,4,6,7,8,0,3,9,NaN,NaN,1,NaN,NaN,0.58852
23,80,4,2,4,7,1,6,8,3,5,9,3,3,5,9,1,2,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.83539
23,81,5,2,4,8,1,6,7,3,5,9,3,3,5,9,1,2,4,6,7,8,0,3,8,NaN,NaN,0,NaN,NaN,1.2872
23,82,5,3,5,8,2,4,7,1,6,9,2,2,4,7,1,3,5,6,8,9,1,3,8,NaN,NaN,0,NaN,NaN,0.67802
23,83,5,1,6,9,2,4,7,3,5,8,2,2,4,7,1,3,5,6,8,9,0,3,8,NaN,NaN,0,NaN,NaN,0.63642
23,84,5,3,6,7,2,4,9,1,5,8,3,1,5,8,2,3,4,6,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.48221
23,85,5,3,5,7,1,4,9,2,6,8,1,3,5,7,1,2,4,6,8,9,0,3,8,NaN,NaN,0,NaN,NaN,0.97758
23,86,5,3,6,7,2,4,9,1,5,8,3,1,5,8,2,3,4,6,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.37613
23,87,5,3,6,7,2,4,8,1,5,9,2,2,4,8,1,3,5,6,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.7585
23,88,5,1,4,9,3,6,8,2,5,7,2,3,6,8,1,2,4,5,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.42991
23,89,5,2,6,9,1,5,7,3,4,8,3,3,4,8,1,2,5,6,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.57141
23,90,5,3,5,9,1,4,7,2,6,8,3,2,6,8,1,3,4,5,7,9,0,3,8,NaN,NaN,1,NaN,NaN,0.49909
23,91,5,2,6,8,1,4,9,3,5,7,1,2,6,8,1,3,4,5,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.55306
23,92,5,1,5,7,2,6,8,3,4,9,2,2,6,8,1,3,4,5,7,9,0,3,8,NaN,NaN,1,NaN,NaN,0.47249
23,93,5,3,4,9,2,6,8,1,5,7,2,2,6,8,1,3,4,5,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.43067
23,94,5,2,5,8,1,4,9,3,6,7,1,2,5,8,1,3,4,6,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.54998
23,95,5,2,6,7,3,4,9,1,5,8,3,1,5,8,2,3,4,6,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.64389
23,96,5,2,4,7,1,6,8,3,5,9,2,1,6,8,2,3,4,5,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.49945
23,97,5,2,4,7,1,5,9,3,6,8,3,3,6,8,1,2,4,5,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.6569
23,98,5,3,6,7,1,5,9,2,4,8,3,2,4,8,1,3,5,6,7,9,0,3,8,NaN,NaN,1,NaN,NaN,0.51988
23,99,5,3,6,9,1,4,8,2,5,7,2,1,4,8,2,3,5,6,7,9,0,3,8,NaN,NaN,1,NaN,NaN,0.43829
23,100,5,2,6,8,1,5,9,3,4,7,1,2,6,8,1,3,4,5,7,9,1,3,8,NaN,NaN,1,NaN,NaN,0.55785
23,101,6,2,5,9,1,4,7,3,6,8,1,2,5,9,1,3,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,1.4937
23,102,6,2,4,9,1,6,7,3,5,8,1,2,4,9,1,3,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.79802
23,103,6,3,6,8,2,5,9,1,4,7,2,2,5,9,1,3,4,6,7,8,0,3,9,NaN,NaN,1,NaN,NaN,0.53232
23,104,6,2,6,8,1,4,7,3,5,9,2,1,4,7,2,3,5,6,8,9,0,3,9,NaN,NaN,0,NaN,NaN,0.80995
23,105,6,2,4,7,3,6,9,1,5,8,2,3,6,9,1,2,4,5,7,8,0,3,9,NaN,NaN,1,NaN,NaN,1.0885
23,106,6,1,5,9,2,6,8,3,4,7,2,2,6,8,1,3,4,5,7,9,0,3,9,NaN,NaN,0,NaN,NaN,0.51979
23,107,6,1,6,8,2,5,7,3,4,9,2,2,5,7,1,3,4,6,8,9,0,3,9,NaN,NaN,0,NaN,NaN,0.62174
23,108,6,2,6,7,1,4,9,3,5,8,1,2,6,7,1,3,4,5,8,9,0,3,9,NaN,NaN,0,NaN,NaN,0.6617
23,109,6,2,6,9,3,4,7,1,5,8,1,2,6,9,1,3,4,5,7,8,1,3,9,NaN,NaN,1,NaN,NaN,1.3631
23,110,6,1,4,7,2,5,9,3,6,8,2,2,5,9,1,3,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.68266
23,111,6,1,6,7,2,5,8,3,4,9,3,3,4,9,1,2,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.51332
23,112,6,2,6,9,3,5,7,1,4,8,1,2,6,9,1,3,4,5,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.51119
23,113,6,2,6,8,1,5,7,3,4,9,3,3,4,9,1,2,5,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.49413
23,114,6,3,4,7,2,6,8,1,5,9,3,1,5,9,2,3,4,6,7,8,0,3,9,NaN,NaN,1,NaN,NaN,0.74065
23,115,6,3,4,7,1,6,8,2,5,9,3,2,5,9,1,3,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.58698
23,116,6,3,6,7,2,4,8,1,5,9,3,1,5,9,2,3,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.50635
23,117,6,1,6,8,3,5,7,2,4,9,3,2,4,9,1,3,5,6,7,8,0,3,9,NaN,NaN,1,NaN,NaN,0.44913
23,118,6,3,5,8,2,6,9,1,4,7,2,2,6,9,1,3,4,5,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.5439
23,119,6,1,5,9,3,6,8,2,4,7,1,1,5,9,2,3,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.63087
23,120,6,1,4,8,2,6,7,3,5,9,3,3,5,9,1,2,4,6,7,8,1,3,9,NaN,NaN,1,NaN,NaN,0.94911
23,121,7,3,6,7,1,4,9,2,5,8,2,1,4,9,2,3,5,6,7,8,1,1,1,NaN,NaN,1,NaN,NaN,1.1692
23,122,7,1,5,7,2,4,8,3,6,9,2,2,4,8,1,3,5,6,7,9,0,1,1,NaN,NaN,0,NaN,NaN,0.74323
23,123,7,3,5,7,1,4,8,2,6,9,2,1,4,8,2,3,5,6,7,9,0,1,1,NaN,NaN,1,NaN,NaN,0.74196
23,124,7,2,4,8,1,6,7,3,5,9,3,3,5,9,1,2,4,6,7,8,0,1,1,NaN,NaN,0,NaN,NaN,0.31608
23,125,7,2,6,9,3,5,8,1,4,7,1,2,6,9,1,3,4,5,7,8,0,1,1,NaN,NaN,0,NaN,NaN,0.84328
23,126,7,2,4,9,1,5,7,3,6,8,2,1,5,7,2,3,4,6,8,9,0,1,1,NaN,NaN,1,NaN,NaN,0.72278
23,127,7,3,4,9,1,5,7,2,6,8,3,2,6,8,1,3,4,5,7,9,0,1,1,NaN,NaN,0,NaN,NaN,0.43308
23,128,7,2,5,9,3,4,7,1,6,8,2,3,4,7,1,2,5,6,8,9,1,1,1,NaN,NaN,0,NaN,NaN,0.54308
23,129,7,1,4,8,2,5,9,3,6,7,1,1,4,8,2,3,5,6,7,9,1,1,1,NaN,NaN,1,NaN,NaN,0.53468
23,130,7,3,5,7,1,4,9,2,6,8,2,1,4,9,2,3,5,6,7,8,1,1,1,NaN,NaN,1,NaN,NaN,0.67658
23,131,7,1,6,8,3,4,9,2,5,7,2,3,4,9,1,2,5,6,7,8,0,1,1,NaN,NaN,0,NaN,NaN,0.57175
23,132,7,1,6,8,3,4,9,2,5,7,2,3,4,9,1,2,5,6,7,8,0,1,1,NaN,NaN,0,NaN,NaN,0.56151
23,133,7,1,4,8,3,6,7,2,5,9,1,1,4,8,2,3,5,6,7,9,1,1,1,NaN,NaN,1,NaN,NaN,1.2245
23,134,7,1,6,7,2,4,9,3,5,8,2,2,4,9,1,3,5,6,7,8,0,1,1,NaN,NaN,0,NaN,NaN,0.5756
23,135,7,3,6,9,1,4,8,2,5,7,2,1,4,8,2,3,5,6,7,9,0,1,1,NaN,NaN,1,NaN,NaN,0.53465
23,136,7,1,4,7,3,6,9,2,5,8,1,1,4,7,2,3,5,6,8,9,1,1,1,NaN,NaN,1,NaN,NaN,1.1809
23,137,7,3,4,8,1,5,7,2,6,9,2,1,5,7,2,3,4,6,8,9,1,1,1,NaN,NaN,1,NaN,NaN,0.4197
23,138,7,1,6,9,3,5,7,2,4,8,2,3,5,7,1,2,4,6,8,9,0,1,1,NaN,NaN,0,NaN,NaN,0.42565
23,139,7,1,6,9,3,4,8,2,5,7,3,2,5,7,1,3,4,6,8,9,0,1,1,NaN,NaN,0,NaN,NaN,0.53621
23,140,7,2,6,8,3,5,9,1,4,7,3,1,4,7,2,3,5,6,8,9,1,1,1,NaN,NaN,1,NaN,NaN,0.87998
23,141,8,3,6,9,1,4,7,2,5,8,3,2,5,8,1,3,4,6,7,9,0,3,7,NaN,NaN,0,NaN,NaN,1.3121
23,142,8,1,5,9,2,4,7,3,6,8,3,3,6,8,1,2,4,5,7,9,0,3,7,NaN,NaN,0,NaN,NaN,0.68657
23,143,8,2,4,7,3,5,8,1,6,9,1,2,4,7,1,3,5,6,8,9,1,3,7,NaN,NaN,1,NaN,NaN,0.71793
23,144,8,3,6,8,1,4,9,2,5,7,3,2,5,7,1,3,4,6,8,9,1,3,7,NaN,NaN,1,NaN,NaN,0.66045
23,145,8,3,5,8,1,6,7,2,4,9,3,2,4,9,1,3,5,6,7,8,0,3,7,NaN,NaN,0,NaN,NaN,0.57952
23,146,8,1,4,8,2,5,9,3,6,7,2,2,5,9,1,3,4,6,7,8,0,3,7,NaN,NaN,0,NaN,NaN,0.57008
23,147,8,2,6,9,1,4,7,3,5,8,2,1,4,7,2,3,5,6,8,9,1,3,7,NaN,NaN,1,NaN,NaN,0.5926
23,148,8,2,6,8,1,4,7,3,5,9,2,1,4,7,2,3,5,6,8,9,0,3,7,NaN,NaN,1,NaN,NaN,0.49486
23,149,8,2,5,7,3,4,9,1,6,8,1,2,5,7,1,3,4,6,8,9,1,3,7,NaN,NaN,1,NaN,NaN,0.7969
23,150,8,1,6,8,2,5,7,3,4,9,2,2,5,7,1,3,4,6,8,9,1,3,7,NaN,NaN,1,NaN,NaN,0.69991
23,151,8,3,5,7,2,6,8,1,4,9,2,2,6,8,1,3,4,5,7,9,0,3,7,NaN,NaN,0,NaN,NaN,0.74739
23,152,8,3,6,9,2,4,8,1,5,7,3,1,5,7,2,3,4,6,8,9,1,3,7,NaN,NaN,1,NaN,NaN,0.57721
23,153,8,2,5,8,1,4,7,3,6,9,3,3,6,9,1,2,4,5,7,8,0,3,7,NaN,NaN,0,NaN,NaN,1.1447
23,154,8,3,6,7,2,5,8,1,4,9,2,2,5,8,1,3,4,6,7,9,1,3,7,NaN,NaN,0,NaN,NaN,1.1593
23,155,8,2,4,9,1,6,7,3,5,8,3,3,5,8,1,2,4,6,7,9,0,3,7,NaN,NaN,0,NaN,NaN,0.46203
23,156,8,2,5,8,3,6,7,1,4,9,1,2,5,8,1,3,4,6,7,9,0,3,7,NaN,NaN,0,NaN,NaN,0.56348
23,157,8,2,4,9,1,6,8,3,5,7,1,2,4,9,1,3,5,6,7,8,0,3,7,NaN,NaN,0,NaN,NaN,1.0194
23,158,8,2,4,7,1,5,9,3,6,8,2,1,5,9,2,3,4,6,7,8,1,3,7,NaN,NaN,0,NaN,NaN,0.98516
23,159,8,2,6,7,1,4,8,3,5,9,1,2,6,7,1,3,4,5,8,9,1,3,7,NaN,NaN,1,NaN,NaN,0.49678
23,160,8,3,5,7,2,6,9,1,4,8,1,3,5,7,1,2,4,6,8,9,1,3,7,NaN,NaN,1,NaN,NaN,0.79167
23,161,9,1,4,9,3,5,7,2,6,8,2,3,5,7,1,2,4,6,8,9,0,1,2,NaN,NaN,0,NaN,NaN,0.57781
23,162,9,2,5,7,3,6,9,1,4,8,2,3,6,9,1,2,4,5,7,8,0,1,2,NaN,NaN,0,NaN,NaN,0.59987
23,163,9,2,4,9,3,5,8,1,6,7,1,2,4,9,1,3,5,6,7,8,1,1,2,NaN,NaN,1,NaN,NaN,1.2236
23,164,9,1,4,7,2,5,8,3,6,9,1,1,4,7,2,3,5,6,8,9,0,1,2,NaN,NaN,0,NaN,NaN,0.77359
23,165,9,1,4,7,2,5,9,3,6,8,2,2,5,9,1,3,4,6,7,8,1,1,2,NaN,NaN,1,NaN,NaN,0.6602
23,166,9,1,5,8,3,4,9,2,6,7,3,2,6,7,1,3,4,5,8,9,0,1,2,NaN,NaN,1,NaN,NaN,0.90713
23,167,9,1,6,7,2,5,8,3,4,9,3,3,4,9,1,2,5,6,7,8,0,1,2,NaN,NaN,0,NaN,NaN,0.56162
23,168,9,2,4,8,3,5,7,1,6,9,1,2,4,8,1,3,5,6,7,9,1,1,2,NaN,NaN,1,NaN,NaN,0.78508
23,169,9,2,5,9,3,6,8,1,4,7,1,2,5,9,1,3,4,6,7,8,1,1,2,NaN,NaN,1,NaN,NaN,0.51162
23,170,9,1,5,7,2,4,9,3,6,8,2,2,4,9,1,3,5,6,7,8,0,1,2,NaN,NaN,1,NaN,NaN,0.58942
23,171,9,1,5,9,2,6,7,3,4,8,2,2,6,7,1,3,4,5,8,9,1,1,2,NaN,NaN,1,NaN,NaN,0.86888
23,172,9,2,4,8,1,6,9,3,5,7,1,2,4,8,1,3,5,6,7,9,1,1,2,NaN,NaN,1,NaN,NaN,0.6754
23,173,9,2,6,7,1,4,8,3,5,9,1,2,6,7,1,3,4,5,8,9,1,1,2,NaN,NaN,1,NaN,NaN,0.76143
23,174,9,2,6,8,3,5,9,1,4,7,1,2,6,8,1,3,4,5,7,9,0,1,2,NaN,NaN,1,NaN,NaN,0.49642
23,175,9,3,5,8,2,4,7,1,6,9,2,2,4,7,1,3,5,6,8,9,1,1,2,NaN,NaN,1,NaN,NaN,0.55899
23,176,9,3,6,8,1,4,9,2,5,7,3,2,5,7,1,3,4,6,8,9,1,1,2,NaN,NaN,1,NaN,NaN,0.7416
23,177,9,2,6,9,3,4,7,1,5,8,1,2,6,9,1,3,4,5,7,8,1,1,2,NaN,NaN,1,NaN,NaN,0.75627
23,178,9,3,6,7,2,4,8,1,5,9,2,2,4,8,1,3,5,6,7,9,1,1,2,NaN,NaN,1,NaN,NaN,0.52345
23,179,9,1,6,9,2,4,7,3,5,8,2,2,4,7,1,3,5,6,8,9,1,1,2,NaN,NaN,1,NaN,NaN,0.63362
23,180,9,3,5,7,1,4,9,2,6,8,3,2,6,8,1,3,4,5,7,9,1,1,2,NaN,NaN,1,NaN,NaN,1.0324
23,181,10,3,4,8,1,5,9,2,6,7,2,1,5,9,2,3,4,6,7,8,0,1,2,NaN,NaN,0,NaN,NaN,1.7259
23,182,10,3,6,8,2,4,9,1,5,7,2,2,4,9,1,3,5,6,7,8,1,1,2,NaN,NaN,1,NaN,NaN,0.61323
23,183,10,2,5,7,1,4,8,3,6,9,3,3,6,9,1,2,4,5,7,8,0,1,2,NaN,NaN,0,NaN,NaN,1.1157
23,184,10,3,6,7,2,5,8,1,4,9,3,1,4,9,2,3,5,6,7,8,0,1,2,NaN,NaN,0,NaN,NaN,0.75472
23,185,10,3,4,7,1,5,8,2,6,9,3,2,6,9,1,3,4,5,7,8,1,1,2,NaN,NaN,1,NaN,NaN,0.56148
23,186,10,3,4,8,1,5,7,2,6,9,3,2,6,9,1,3,4,5,7,8,0,1,2,NaN,NaN,1,NaN,NaN,0.65589
23,187,10,2,6,9,1,4,8,3,5,7,1,2,6,9,1,3,4,5,7,8,0,1,2,NaN,NaN,1,NaN,NaN,0.93439
